ticker,n_pre2018,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_total
MSFT,0,0,0,0,0,2679,6058,8737
AAPL,0,0,0,473,0,3094,5771,9338
NVDA,1803,526,508,309,711,2368,5637,11862
GOOG,0,47,2141,2081,1472,1878,2311,9930
AMD,1423,926,891,1063,812,1864,2160,9209
INTC,26,2124,2721,1562,1212,1398,2114,11157
DIS,0,0,1037,2874,1741,1922,2080,9654
CVX,1272,838,739,1057,983,1768,2031,8688
XOM,0,101,543,1523,1242,1959,1978,7346
WMT,0,116,1340,2034,1486,1883,1827,8686
GS,1718,805,563,1028,1436,1429,1751,8730
CRM,2305,821,688,700,750,863,1466,7593
SPY,1156,2764,0,186,522,1300,1297,7225
KO,5285,783,805,831,556,966,1295,10521
V,2478,552,454,639,714,913,1233,6983
MS,4143,713,551,918,889,1018,1226,9458
WFC,5298,1095,833,1182,857,850,1186,11301
T,2223,1319,1109,1241,1219,1167,1185,9463
QQQ,6298,1586,630,496,538,1080,1185,11813
COST,2397,547,438,637,525,1079,1158,6781
ADBE,2636,689,563,554,417,613,1098,6570
QCOM,3666,1127,1011,670,568,833,1079,8954
TGT,73,280,338,193,0,1192,1079,3155
DAL,2063,184,294,385,0,77,1042,4045
AAL,1650,491,636,1646,912,863,1011,7209
PEP,3424,593,466,484,455,693,998,7113
MRK,5048,1132,849,803,884,1078,980,10774
NKE,2620,673,540,681,730,921,964,7129
TSM,2547,678,650,454,443,704,946,6422
CAT,3511,1094,696,436,363,496,918,7514
UNG,2808,218,57,87,63,110,906,4249
MU,4158,1706,1018,560,547,734,882,9605
GLD,5311,405,494,553,367,346,862,8338
XOP,1601,660,423,133,59,120,842,3838
OXY,2551,718,1208,1058,362,962,832,7691
FCG,1059,351,244,26,42,83,828,2633
ORCL,4526,643,482,591,452,488,816,7998
NEE,2430,941,942,672,317,601,807,6710
WBA,1791,1199,1302,692,590,638,802,7014
AMGN,2278,494,381,456,330,558,761,5258
CMG,3794,651,587,538,361,491,752,7174
ABT,1190,236,307,543,432,598,749,4055
CMCSA,4484,1013,709,728,525,612,749,8820
BKR,0,0,23,223,382,607,743,1978
GE,4003,1177,686,808,677,586,743,8680
ALB,1226,484,488,287,231,725,734,4175
BHP,2907,605,485,384,703,872,727,6683
DE,2467,454,387,221,273,447,712,4961
NVO,1155,491,477,154,67,144,684,3172
UPS,1185,302,221,493,387,561,679,3828
COP,3612,625,462,433,335,812,650,6929
VRTX,1721,709,704,558,332,649,647,5320
PXD,2304,925,515,323,186,335,634,5222
FDX,3609,1122,1553,733,413,685,629,8744
BKNG,0,181,190,270,264,367,628,1900
BX,2398,769,815,461,458,516,628,6045
IAU,780,221,204,239,158,100,626,2328
DVN,1648,286,258,310,208,624,624,3958
AMAT,1687,572,379,460,357,377,606,4438
TMUS,1866,410,463,474,364,445,598,4620
ASML,1377,492,312,212,215,338,574,3520
