ticker,n_total,n_2009,n_2010,n_2011,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,price_start,price_end,n_price_rows,max_gap_days,median_dollar_vol,liquidity_year,close_liquidity_mean,error,selection_news,tier,composite_score
SPY,7225,0,0,0,0,0,0,0,0,1156,2764,0,186,522,1300,1297,1993-01-29,2023-12-28,3773.0,5.0,15834372586.386108,2017.0,244.69637465761951,,3920,STRONG,13.491508949507633
MU,9605,0,0,213,154,497,594,715,612,1373,1706,1018,560,547,734,882,1984-06-01,2023-12-28,3773.0,5.0,795582102.1270752,2017.0,32.126374544850385,,3079,STRONG,12.835370460070317
QQQ,11813,0,0,1167,773,690,868,785,790,1225,1586,630,496,538,1080,1185,1999-03-10,2023-12-28,3773.0,5.0,3392965935.0219717,2017.0,140.32880453284517,,2811,STRONG,12.831472678654809
GILD,12376,13,150,209,248,458,1162,1270,1120,1067,1636,1374,2237,399,535,498,1992-01-22,2023-12-28,3773.0,5.0,571799414.1616821,2017.0,72.3251392318908,,2703,STRONG,12.638840828344176
T,9463,0,0,0,0,0,0,0,749,1474,1319,1109,1241,1219,1167,1185,1983-11-21,2023-12-28,3773.0,5.0,845885670.4799652,2017.0,38.59637445092676,,2793,STRONG,12.619055983559807
WFC,11301,0,0,2,309,285,222,419,2133,1928,1095,833,1182,857,850,1186,1972-06-01,2023-12-28,3773.0,5.0,915774542.0734406,2017.0,54.97992037586957,,3023,STRONG,12.574158687212854
GE,8680,0,0,0,251,396,543,671,830,1312,1177,686,808,677,586,743,1962-01-02,2023-12-28,3773.0,5.0,957886806.5122604,2017.0,24.97241801379686,,2489,STRONG,12.457871139668915
C,7250,0,0,0,0,0,101,767,943,1314,1077,805,761,0,1125,357,1977-01-03,2023-12-28,3773.0,5.0,1002715136.3712311,2017.0,65.69952187405164,,2391,STRONG,12.37389423794155
MRK,10774,35,280,338,415,496,745,685,865,1189,1132,849,803,884,1078,980,1970-01-02,2023-12-28,3773.0,5.0,550453069.4908142,2017.0,62.24780881357383,,2321,STRONG,12.321622613645165
XLF,6700,30,184,373,499,406,279,295,565,989,1111,469,301,311,438,450,1998-12-22,2023-12-28,3773.0,5.0,1453559347.913742,2017.0,24.8886453848911,,2100,STRONG,12.295254500062633
AMT,7912,5,98,134,231,715,811,857,780,1076,1219,755,322,189,313,407,1998-02-27,2023-12-28,3773.0,5.0,235833738.82598877,2017.0,130.09792811177167,,2295,STRONG,12.272094663546191
AMD,9209,0,0,0,0,0,0,0,34,1389,926,891,1063,812,1864,2160,1980-03-17,2023-12-28,3773.0,5.0,673845130.8749199,2017.0,12.411673283671952,,2315,STRONG,12.216195097539188
WDC,6843,5,102,213,419,378,403,546,818,1022,1142,839,356,164,201,235,1978-10-31,2023-12-28,3773.0,5.0,313212624.6765137,2017.0,84.24988048295101,,2164,STRONG,12.205826898544132
CMCSA,8820,2,51,117,213,318,640,959,1057,1127,1013,709,728,525,612,749,1980-03-17,2023-12-28,3773.0,5.0,677170153.1913757,2017.0,38.38165330316916,,2140,STRONG,12.201898461777509
WBA,7014,0,0,0,0,0,3,417,535,836,1199,1302,692,590,638,802,1980-03-17,2023-12-28,3773.0,5.0,367019273.41918945,2017.0,79.16023901829206,,2035,STRONG,12.167926645244446
FDX,8744,38,300,282,356,432,391,456,579,775,1122,1553,733,413,685,629,1978-04-12,2023-12-28,3773.0,5.0,267819576.14135742,2017.0,207.56992002692357,,1897,STRONG,12.036403678505984
CAT,7514,2,60,184,568,521,501,607,425,643,1094,696,436,363,496,918,1970-01-02,2023-12-28,3773.0,5.0,415543821.723938,2017.0,112.59948216776449,,1737,STRONG,11.956082371229748
CVX,8688,0,0,0,0,0,0,0,339,933,838,739,1057,983,1768,2031,1962-01-02,2023-12-28,3773.0,5.0,580699798.8983154,2017.0,111.45756977582833,,1771,STRONG,11.904739260708263
TXN,7041,37,297,361,253,273,357,576,526,734,985,938,414,276,456,558,1972-06-01,2023-12-28,3773.0,5.0,347845500.0,2017.0,84.33358560995276,,1719,STRONG,11.9018688820808
GS,8730,0,0,0,0,0,0,0,746,972,805,563,1028,1436,1429,1751,1999-05-04,2023-12-28,3773.0,5.0,669275006.2133789,2017.0,233.58976082972796,,1777,STRONG,11.897396704952852
KSS,6818,23,182,237,260,247,378,621,776,829,975,769,562,245,455,259,1992-05-19,2023-12-28,3773.0,5.0,157102208.41941833,2017.0,41.54621511816504,,1804,STRONG,11.883411894819115
QCOM,8954,0,56,87,402,502,569,913,664,473,1127,1011,670,568,833,1079,1991-12-13,2023-12-28,3773.0,5.0,479538054.01763916,2017.0,56.851832705189985,,1600,STRONG,11.844969708217981
XLK,5649,24,133,216,176,159,154,145,214,467,1115,1014,519,315,461,537,1998-12-22,2023-12-28,3773.0,5.0,457930640.9591675,2017.0,56.749880498149004,,1582,STRONG,11.823900231684359
EA,7107,22,185,243,349,379,316,711,704,701,928,1032,539,354,346,298,1989-09-20,2023-12-28,3773.0,5.0,266337281.3987732,2017.0,103.8550994386711,,1629,STRONG,11.796161833312812
KO,10521,40,348,324,489,554,947,786,914,883,783,805,831,556,966,1295,1962-01-02,2023-12-28,3773.0,5.0,460599064.81018066,2017.0,44.347968097701965,,1666,STRONG,11.789302162038732
NEE,6710,0,44,88,98,173,272,462,619,674,941,942,672,317,601,807,1973-02-21,2023-12-28,3773.0,5.0,217484760.52856445,2017.0,140.9167329400659,,1615,STRONG,11.772847386155608
CRM,7593,1,20,73,97,119,158,216,911,710,821,688,700,750,863,1466,2004-06-23,2023-12-28,3773.0,5.0,350961691.0736084,2017.0,90.25948193918661,,1531,STRONG,11.704128552759041
D,5631,103,87,171,255,345,345,516,417,420,1119,732,382,146,269,324,1980-03-17,2023-12-28,3773.0,5.0,172374383.31298828,2017.0,78.26888442324451,,1539,STRONG,11.68969492622107
ALGN,4017,0,19,34,89,168,164,165,230,920,771,476,283,140,201,357,2001-01-30,2023-12-28,3773.0,5.0,125484415.78216553,2017.0,158.97418367910194,,1691,STRONG,11.681432526765931
HAL,6840,11,246,304,172,154,272,537,1174,734,769,741,520,241,441,524,1972-06-01,2023-12-28,3774.0,5.0,379310029.7149659,2017.0,46.3877290520535,,1503,STRONG,11.662124629747817
ENB,4837,2,22,52,87,78,93,206,446,547,985,857,379,352,337,394,1984-03-15,2023-12-28,3773.0,5.0,95712173.48556519,2017.0,40.40338645418327,,1532,STRONG,11.642987433785361
CSX,6170,13,227,353,417,280,396,618,634,733,751,707,255,130,374,282,1980-11-03,2023-12-28,3773.0,5.0,337108815.5639649,2017.0,50.451593710606794,,1484,STRONG,11.627544860194533
PBR,6523,5,255,229,411,506,454,906,764,466,990,562,196,153,318,308,2000-08-10,2023-12-28,3773.0,5.0,161182897.42946625,2017.0,9.618884438062569,,1456,STRONG,11.613342954844292
PXD,5222,3,41,97,173,210,214,465,609,492,925,515,323,186,335,634,1997-08-08,2023-12-28,3773.0,5.0,253361379.24804688,2017.0,163.47888466276495,,1417,STRONG,11.611876904583827
MS,9458,0,602,527,365,257,375,639,619,759,713,551,918,889,1018,1226,1993-02-23,2023-12-28,3774.0,4.0,398856320.40023804,2017.0,46.11804781302038,,1472,STRONG,11.607705474660982
RS,2861,0,0,0,0,0,7,55,63,1549,615,35,38,59,237,203,1994-09-16,2023-12-28,3773.0,5.0,36024844.271850586,2017.0,77.16179270953296,,2164,STRONG,11.60757249091466
CMG,7174,1,13,30,88,251,539,790,1149,933,651,587,538,361,491,752,2006-01-26,2023-12-28,3773.0,5.0,345698083.77685547,2017.0,377.7937055488982,,1584,STRONG,11.60752217548734
NKE,7129,3,37,52,136,145,306,441,672,828,673,540,681,730,921,964,1980-12-02,2023-12-28,3773.0,5.0,463406949.40185547,2017.0,55.70601597820145,,1501,STRONG,11.606532696944871
XLE,6333,21,223,293,187,168,223,272,315,433,875,1094,691,410,613,515,1998-12-22,2023-12-28,3773.0,5.0,868219258.0490112,2017.0,68.33322711959778,,1308,STRONG,11.599614240933448
EOG,5126,9,77,125,187,137,235,278,708,500,891,614,364,200,376,425,1989-10-04,2023-12-28,3773.0,5.0,272269287.3413086,2017.0,95.69605592522488,,1391,STRONG,11.58876891404158
NVS,5803,18,172,130,238,356,357,484,494,753,753,829,435,137,249,398,1996-11-07,2023-12-28,3773.0,5.0,144724975.14648438,2017.0,72.14325484621573,,1506,STRONG,11.570197248743487
TJX,6400,21,189,297,623,484,413,540,522,539,828,633,424,170,226,491,1987-06-26,2023-12-28,3773.0,5.0,279482461.8759156,2017.0,37.02245025330806,,1367,STRONG,11.55527563694786
ORCL,7998,5,85,459,540,623,638,606,807,763,643,482,591,452,488,816,1986-03-12,2023-12-28,3773.0,5.0,522595263.73672485,2017.0,46.52466137950639,,1406,STRONG,11.530615714570189
VNQ,3478,7,11,44,29,39,60,92,620,490,813,856,146,49,101,121,2004-09-29,2023-12-28,3773.0,5.0,297881970.7710266,2017.0,83.4296812384252,,1303,STRONG,11.494991273589735
DPZ,5308,2,47,82,152,163,307,445,548,591,755,709,595,221,263,428,2004-07-13,2023-12-28,3773.0,5.0,151969421.08154297,2017.0,189.16545798009136,,1346,STRONG,11.45614593543211
BIDU,6622,0,40,98,353,370,415,547,562,582,689,850,662,500,394,560,2005-08-05,2023-12-28,3773.0,5.0,460733334.27734375,2017.0,205.07326747696712,,1271,STRONG,11.453475117727177
AMAT,4438,0,20,36,72,97,100,146,368,848,572,379,460,357,377,606,1980-03-17,2023-12-28,3774.0,5.0,410997644.44885254,2017.0,44.48505978375317,,1420,STRONG,11.445683176432588
FL,5108,55,77,102,162,152,449,438,580,654,716,817,264,118,205,319,1962-01-02,2023-12-28,3773.0,5.0,132817556.41937256,2017.0,54.0236255068228,,1370,STRONG,11.442044555580427
ULTA,5447,0,2,82,244,211,255,460,721,611,717,733,371,163,413,464,2007-10-25,2023-12-28,3773.0,5.0,187048311.328125,2017.0,254.39932214501368,,1328,STRONG,11.439226468652786
DUK,5991,4,91,345,431,402,422,609,575,489,784,567,411,160,307,394,1980-03-17,2023-12-28,3773.0,5.0,205914328.87573242,2017.0,84.14705189860675,,1273,STRONG,11.425623727082964
XLU,4950,14,56,106,167,182,239,488,801,476,724,862,288,136,200,211,1998-12-22,2023-12-28,3773.0,5.0,590526762.5675201,2017.0,52.75143435656787,,1200,STRONG,11.42417781720764
HAS,4539,10,110,171,150,156,236,302,544,611,740,610,284,159,233,223,1980-03-17,2023-12-28,3773.0,5.0,101622659.99145508,2017.0,97.74266918531927,,1351,STRONG,11.41776487824414
ADBE,6570,27,288,249,189,304,267,329,414,569,689,563,554,417,613,1098,1986-08-13,2023-12-28,3773.0,5.0,285764129.3457031,2017.0,143.9961358180559,,1258,STRONG,11.40071132058384
HUM,5469,9,125,198,239,197,265,738,595,641,645,564,343,135,309,466,1981-12-31,2023-12-28,3773.0,5.0,272595316.1743164,2017.0,231.37135448683782,,1286,STRONG,11.390197333500957
V,6983,0,59,70,165,221,319,383,519,742,552,454,639,714,913,1233,2008-03-19,2023-12-28,3773.0,5.0,673432443.4364319,2017.0,97.71880489516543,,1294,STRONG,11.386364830926619
CI,6135,12,148,266,427,468,309,760,479,547,709,713,392,166,319,420,1982-03-31,2023-12-28,3773.0,5.0,217694811.53869626,2017.0,171.37099636123475,,1256,STRONG,11.385972229177977
PGR,3964,2,65,89,189,132,175,282,236,473,795,555,218,113,244,396,1980-03-17,2023-12-28,3773.0,5.0,119137200.83236694,2017.0,44.57450196467548,,1268,STRONG,11.375412325090185
EBAY,7178,1,49,132,476,605,1060,777,610,585,660,546,537,465,344,331,1998-09-24,2023-12-28,3773.0,5.0,271892931.5814972,2017.0,35.06171319969147,,1245,STRONG,11.367293318110576
NVDA,11862,0,0,226,183,144,118,180,337,615,526,508,309,711,2368,5637,1999-01-22,2023-12-28,3773.0,5.0,2235052195.1156616,2017.0,37.44592624831485,,1141,STRONG,11.348681564238941
COST,6781,0,43,89,155,186,277,408,482,757,547,438,637,525,1079,1158,1986-07-09,2023-12-28,3773.0,5.0,405063888.432312,2017.0,167.407449912265,,1304,STRONG,11.343121685254287
PEP,7113,24,238,306,298,363,529,474,549,643,593,466,484,455,693,998,1972-06-01,2023-12-28,3773.0,5.0,381361122.90344244,2017.0,112.95270921319604,,1236,STRONG,11.33699596595174
DHI,4800,12,175,121,181,287,260,400,396,586,678,567,339,116,267,415,1992-06-05,2023-12-28,3773.0,5.0,131884846.276474,2017.0,36.8839043773028,,1264,STRONG,11.332172516966269
DLTR,4956,16,106,199,145,191,386,232,485,514,693,571,348,212,531,327,1995-03-07,2023-12-28,3773.0,5.0,192002363.72985843,2017.0,82.03884453032596,,1207,STRONG,11.321216725900754
TEVA,3598,1,27,40,88,108,136,167,210,800,540,529,394,160,191,207,1982-02-16,2023-12-28,3773.0,5.0,253712658.41388702,2017.0,25.622071725913727,,1340,STRONG,11.317218179559461
BIIB,6453,0,5,89,218,484,645,691,618,614,590,539,511,483,457,509,1991-09-17,2023-12-28,3773.0,5.0,376529402.43530273,2017.0,291.0549403338793,,1204,STRONG,11.307786930320727
VWO,3729,9,92,161,265,218,100,314,654,453,680,410,191,32,69,81,2005-03-10,2023-12-28,3773.0,5.0,416806622.8443146,2017.0,41.78569713151787,,1133,STRONG,11.306597827382937
EEM,4450,39,188,224,380,569,399,331,502,508,556,417,200,23,51,63,2003-04-14,2023-12-28,3773.0,5.0,2056351012.2413635,2017.0,42.26071709560683,,1064,STRONG,11.301408698055914
REGN,3756,0,28,131,141,118,127,394,552,531,637,555,424,0,0,118,1991-04-02,2023-12-28,3773.0,5.0,318711370.8251953,2017.0,422.482988091579,,1168,STRONG,11.297339539673988
X,3912,3,63,42,100,91,215,171,462,785,513,429,196,185,237,420,1991-04-12,2023-12-28,3773.0,5.0,383832073.2776642,2017.0,28.174103558300974,,1298,STRONG,11.292529914043312
COP,6929,30,298,596,443,338,376,496,489,546,625,462,433,335,812,650,1981-12-31,2023-12-28,3773.0,5.0,315993746.9974518,2017.0,47.82828693465883,,1171,STRONG,11.291510470055421
AXP,3790,29,257,198,114,164,149,200,550,515,630,589,388,0,0,7,1972-06-01,2023-12-28,3773.0,5.0,279682312.8089905,2017.0,84.64737060060538,,1145,STRONG,11.259692245748049
TMO,4930,2,61,108,107,170,385,458,544,569,601,578,409,178,287,473,1980-03-17,2023-12-28,3773.0,5.0,237971446.48132324,2017.0,173.4545019993269,,1170,STRONG,11.248380595807086
VRTX,5320,5,54,171,202,148,222,255,237,427,709,704,558,332,649,647,1991-07-24,2023-12-28,3773.0,5.0,182080004.88281247,2017.0,126.90382482521088,,1136,STRONG,11.246879019098538
