src,model,H,fold,arm,best_n,ic,sharpe_ls_20bps,sharpe_lo30_20bps
CNN_Alpha158,CNN,20,F1,mse,15,0.007579749675844428,1.8761762995201476,0.897179059814639
CNN_Alpha158,CNN,20,F1,riskhead,10,0.0026227897250928884,1.2181901239594157,0.898747530997124
CNN_Alpha158,CNN,20,F2,mse,3,-0.013108820178759412,-0.3160938649042304,1.679841021127337
CNN_Alpha158,CNN,20,F2,riskhead,5,-0.004583098306124007,-0.2674472486329725,2.133087283337401
CNN_Alpha158,CNN,20,F3,mse,15,0.022435158084190332,-0.7714901284522989,-1.1531144573860095
CNN_Alpha158,CNN,20,F3,riskhead,7,0.01824132747842583,0.37663673881709353,-0.7368307305448574
CNN_Alpha158,CNN,20,F4,mse,3,-0.05245543835872484,-2.099674016481513,-1.0222329644869976
CNN_Alpha158,CNN,20,F4,riskhead,7,-0.05154970429690976,-2.708433388696791,-0.7345890613303961
CNN_Alpha158,CNN,5,F1,mse,3,-0.012263298614521335,1.2069742407952753,0.29225156432649013
CNN_Alpha158,CNN,5,F1,riskhead,10,-0.015152059938391098,-0.5031340512744119,0.10696848848330942
CNN_Alpha158,CNN,5,F2,mse,15,-0.003432198533570148,0.9721378209714716,1.577338069838457
CNN_Alpha158,CNN,5,F2,riskhead,3,0.011424815408746508,1.7702264194342847,1.899540879463238
CNN_Alpha158,CNN,5,F3,mse,10,-0.0017820810542352903,-0.07019292090980558,-0.8891639204060682
CNN_Alpha158,CNN,5,F3,riskhead,15,0.006832485744508497,0.8501837983313818,-0.83625037766179
CNN_Alpha158,CNN,5,F4,mse,15,-0.011679325578240854,-1.8841218646440128,-0.9544387451580919
CNN_Alpha158,CNN,5,F4,riskhead,15,-0.023685575479610907,-2.0396764826811213,-0.9850774890344277
CNN_Alpha158,CNN,60,F1,mse,3,0.018296325642913863,2.7579188086897775,2.3681578288243186
CNN_Alpha158,CNN,60,F1,riskhead,15,0.05090042515194113,2.743928403443778,2.0176855669226463
CNN_Alpha158,CNN,60,F2,mse,10,-0.0663962902517707,-0.12370417703533358,0.9463470713365074
CNN_Alpha158,CNN,60,F2,riskhead,7,-0.0887936977692509,0.047867372028186195,0.8083941393429114
CNN_Alpha158,CNN,60,F3,mse,3,-0.04643800302877216,-2.7679405606159486,-0.9234227855233522
CNN_Alpha158,CNN,60,F3,riskhead,3,-0.06086712241664841,-2.4967346528677576,-0.8477179024635869
CNN_Alpha158,CNN,60,F4,mse,15,-0.15356914273060682,-10.067424525341481,-32.41199354417854
CNN_Alpha158,CNN,60,F4,riskhead,5,-0.16565636295244518,-3.4430786951936097,-5.6567125387503125
